person,music,StepMean,MusicMean,std,serror,intervall90
P1,M1,"64,41","67,55","4,28","0,77","1,30"
P1,M2,"59,30","74,91","2,87","0,53","0,90"
P1,M3,"64,00","64,78","2,61","0,47","0,79"
P2,M1,"56,42","67,55","1,42","0,24","0,41"
P2,M2,"54,97","74,91","3,57","0,64","1,09"
P2,M3,"60,18","64,78","3,06","0,53","0,90"
P3,M1,"67,97","67,55","3,11","0,58","0,98"
P3,M2,"61,71","74,91","3,44","0,66","1,13"
P3,M3,"63,41","64,78","3,88","0,70","1,18"
P4,M1,"66,23","67,55","4,85","0,89","1,50"
P4,M2,"73,29","74,91","5,95","1,24","2,13"
P4,M3,"64,97","64,78","1,77","0,32","0,55"
P5,M1,"65,45","67,55","5,49","1,00","1,70"
P5,M2,"40,56","74,91","13,00","2,01","3,37"
P5,M3,"61,88","64,78","5,41","0,96","1,62"
P6,M1,"62,30","67,55","5,61","0,99","1,68"
P6,M2,"49,47","74,91","6,80","1,15","1,94"
P6,M3,"62,27","64,78","4,79","0,85","1,44"
P7,M1,"69,14","67,55","4,78","0,90","1,54"
P7,M2,"73,83","74,91","3,60","0,75","1,29"
P7,M3,"64,41","64,78","1,90","0,34","0,58"
